Metric		Current
TOTAL_NUMBER_OF_FILES		83
NUMBER_OF_FILES_MAIN		20
LINES_OF_CODE_MAIN		563
NUMBER_OF_FILES_MAIN_EXT_JAVA		18
LINES_OF_CODE_MAIN_EXT_JAVA		527
NUMBER_OF_FILES_MAIN_EXT_HTML		1
LINES_OF_CODE_MAIN_EXT_HTML		21
NUMBER_OF_FILES_MAIN_EXT_JS		1
LINES_OF_CODE_MAIN_EXT_JS		15
NUMBER_OF_FILES_TEST		3
LINES_OF_CODE_TEST		60
NUMBER_OF_FILES_TEST_EXT_JAVA		3
LINES_OF_CODE_TEST_EXT_JAVA		60
TEST_VS_MAIN_LINES_OF_CODE_PERCENTAGE		10.65
NUMBER_OF_FILES_GENERATED		10
LINES_OF_CODE_GENERATED		359
NUMBER_OF_FILES_GENERATED_EXT_JAVA		10
LINES_OF_CODE_GENERATED_EXT_JAVA		359
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT		4
LINES_OF_CODE_BUILD_AND_DEPLOYMENT		197
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT_EXT_XML		4
LINES_OF_CODE_BUILD_AND_DEPLOYMENT_EXT_XML		197
NUMBER_OF_FILES_OTHER		1
LINES_OF_CODE_OTHER		1
NUMBER_OF_FILES_OTHER_EXT_MD		1
LINES_OF_CODE_OTHER_EXT_MD		1
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_AGVMODULE		5
LINES_OF_CODE_DECOMPOSITION_PRIMARY_AGVMODULE		235
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_AGVMODULE_EXT_JAVA		5
LINES_OF_CODE_DECOMPOSITION_PRIMARY_AGVMODULE_EXT_JAVA		235
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ASMODULE		8
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ASMODULE		187
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ASMODULE_EXT_JAVA		8
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ASMODULE_EXT_JAVA		187
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_FLOWCONTROLLER		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_FLOWCONTROLLER		34
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_FLOWCONTROLLER_EXT_JAVA		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_FLOWCONTROLLER_EXT_JAVA		34
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_GUITEST		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_GUITEST		36
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_GUITEST_EXT_HTML		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_GUITEST_EXT_HTML		21
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_GUITEST_EXT_JS		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_GUITEST_EXT_JS		15
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_WHMODULE		3
LINES_OF_CODE_DECOMPOSITION_PRIMARY_WHMODULE		71
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_WHMODULE_EXT_JAVA		3
LINES_OF_CODE_DECOMPOSITION_PRIMARY_WHMODULE_EXT_JAVA		71
NUMBER_OF_DEPENDENCY_LINKS_DECOMPOSITION_PRIMARY		0
NUMBER_OF_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_PLACES_WITH_CYCLIC_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_FILES_CONCERN_GENERAL_TODOS		0
LINES_OF_CODE_CONCERN_GENERAL_TODOS		0
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED		20
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED		563
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_JAVA		18
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_JAVA		527
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_HTML		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_HTML		21
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_JS		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_JS		15
NEGLIGIBLE_RISK_FILE_SIZE_COUNT		20
LOW_RISK_FILE_SIZE_COUNT		0
MEDIUM_RISK_FILE_SIZE_COUNT		0
HIGH_RISK_FILE_SIZE_COUNT		0
VERY_HIGH_RISK_FILE_SIZE_COUNT		0
NEGLIGIBLE_RISK_FILE_SIZE_LOC		563
LOW_RISK_FILE_SIZE_LOC		0
MEDIUM_RISK_FILE_SIZE_LOC		0
HIGH_RISK_FILE_SIZE_LOC		0
