Metric		Current
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		325
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		58
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_AGVMODULE_NEGLIGIBLE_RISK_LOC		123
CONDITIONAL_COMPLEXITY_COMPONENT_AGVMODULE_LOW_RISK_LOC		58
CONDITIONAL_COMPLEXITY_COMPONENT_AGVMODULE_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_AGVMODULE_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_AGVMODULE_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ASMODULE_NEGLIGIBLE_RISK_LOC		124
CONDITIONAL_COMPLEXITY_COMPONENT_ASMODULE_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ASMODULE_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ASMODULE_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ASMODULE_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_FLOWCONTROLLER_NEGLIGIBLE_RISK_LOC		19
CONDITIONAL_COMPLEXITY_COMPONENT_FLOWCONTROLLER_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_FLOWCONTROLLER_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_FLOWCONTROLLER_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_FLOWCONTROLLER_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_GUITEST_NEGLIGIBLE_RISK_LOC		10
CONDITIONAL_COMPLEXITY_COMPONENT_GUITEST_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_GUITEST_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_GUITEST_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_GUITEST_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_WHMODULE_NEGLIGIBLE_RISK_LOC		49
CONDITIONAL_COMPLEXITY_COMPONENT_WHMODULE_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_WHMODULE_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_WHMODULE_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_WHMODULE_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_NEGLIGIBLE_RISK_LOC		315
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_LOW_RISK_LOC		58
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_LOC		10
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_LOC		0
